gvkey,execid,datadate,fyear,FamaFrench_Ind12,FamaFrench_Ind48,press_career_educ,CEOpos_NumJobs_NumInd,credentials_experiences,revenue_residual,high_optimism,low_optimism,insider,size_LogTotalAsset,size_NumEmp,num_seg,entropy,rnd,Num_RRCP_Provisions,fortune_mac_ranking,firm_prestige,salegr,revenue_fitted,l_totalcomp,l_currcomp,wealth,tot_yr_comp,Prof_CEO_Dummy,tot_yr_comp_net,age,gender,tenure,l_tenure,capital_exp,leverage,cash,dividend_payout,cash_flow,StockReturn_SD,CashFlow_SD,roa,adj_roa,oroa,adj_oroa,oros,adj_oros,roe,adj_roe,annual_StockReturn,Tobin_Q,Tobin_Qf
"001004","09249",31may2014,2013,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)","Wholesale",,.3785129,,-.1490736,0,1,,7.695985,5.8,3,,0,,,,-.0600591,.23006,,6.809535,41057.66,9342.909,.0013634,9505.925,61,"MALE",6443,8.770905,.0120482,.2882473,.0405547,.0053649,.0847011,.0213497,.01119981,.0331439,-.0135982,.0331439,-.0135982,.0358231,.0125395,.0758342,.0283455,.1803698,.9756197,.908892
"001045","26059",31dec2013,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Transportation",,2.128469,,.2655924,,,,10.65202,110.4,1,0,0,,,,.0636265,.78637,16.68688,6.383356,12056.55,591.911,,591.911,51,"MALE",764,6.639876,.0736553,.3973461,.2432944,0,-.0192299,.0257527,.0252241,-.0433795,-.0918947,-.0433795,-.0918947,-.0686583,-.1160697,-.2782163,-.3253639,.9827498,1.220516,1.220516
"001072","23168",31mar2014,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Electronic Equipment",,.2285778,,-.1195721,0,1,1,7.776949,10.9,4,,.0072882,,,,.0118256,.25679,14.08393,6.87159,2722.483,1612.402,.0000212,1571.88,71,"MALE",4656,8.446127,.011239,0,.36658,.0252626,.0743174,.0333366,.04952574,.0532653,.0152749,.0532653,.0157208,.0880609,.0425039,.0572974,.0266943,.1433725,1.12167,1.06877
"001075","05835",,2013,"Utilities","Utilities",,.913659,,,,,1,9.511088,6.433,,,0,,,,.011313,,15.77896,7.092823,11533.72,1881.619,.0000285,2482.106,58,"MALE",1706,7.442492,.0763348,.2583533,.0007052,.0181293,.0608336,.0257527,.00826768,.0300602,.0035675,.0300602,.0035162,.1175449,.0361405,.0696426,.0171059,.2345407,.9357538,.9357538
"001076","00283",,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Business Services",,,,,0,,,7.510527,12.6,,,0,,,,.006591,,,6.745236,5971.446,4811.275,.0000622,5522.769,71,"MALE",699,6.55108,.0318223,.0781009,.1567123,.0029986,.4409925,.0257527,.02526816,.0660396,.0229416,.0660396,.0217319,.0539982,-.0084646,.0562562,.0229484,-.0061564,1.425802,1.425802
"001078","14300",31dec2013,2013,"Healthcare, Medical Equipment, and Drugs","Pharmaceutical Products",,1.030424,,-.1274011,0,1,1,10.66786,69,6,,.0664592,,,,-.4196659,.38113,16.83737,7.549609,156392.3,19762.01,.0000579,52256.91,58,"MALE",5478,8.608678,.026657,.1527483,.1885317,.0233278,.0954997,.0257527,.01949522,.0554792,.0057928,.0599725,.0102861,.1179055,.029745,.0434119,.0224675,.1915674,1.784616,1.784616
"001094","46204",30jun2013,2013,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)","Wholesale",,-.7579843,,-.0286595,0,,,5.778983,.234,4,,.0056715,,,,.170986,.23779,,6.357138,3422.74,1784.209,.0007545,1799.154,70,"MALE",1026,6.934397,.0031599,.0991528,.1093745,.0187274,.0905049,.0225877,.02213641,.069035,.0222929,.069035,.0222929,.0446837,.0214001,.057593,.0101044,.3887903,2.550281,1.596852
"001161","42390",31dec2013,2013,"Business Equipment -- Computers, Software, and Electronic Equipment","Electronic Equipment",,,,.0480553,0,,,8.374938,10.671,3,-.6813804,.2266465,,,,-.0283606,.38386,15.92105,6.907757,9297.574,1049.925,.0008664,2018.784,51,"MALE",859,6.756932,.0193682,.4745215,.2529398,0,.0170625,.0257527,.17662207,-.0191377,-.057128,-.0191377,-.0566821,-.0156633,-.0612203,-.0295821,-.0601852,-.2335165,1.521501,1.521501
"001177","31029",,2013,"Finance","Insurance",,.0612524,,,0,,,10.81721,48.6,,,0,,,,.2143295,,17.24018,6.903917,100970.9,45593.27,.0000443,41465.5,56,"MALE",1128,7.029088,.0096066,.1654763,.0679983,.0059071,.0497816,.0257527,.00757904,.0383704,.0097891,.0383704,.0097891,.0404696,-.050235,.0770268,-.0003996,.2809549,1.199584,1.199584
"001209","27315",30sep2013,2013,"Chemicals and Allied Products","Chemicals",,-.0224103,,-.120236,0,,1,9.789764,21.6,5,,.0131331,,,,.0318598,.30362,16.11438,7.090077,68621.45,38783.34,.0000341,35022.32,59,"MALE",2099,7.649693,.0853889,.3514602,.0252324,.0324704,.1070694,.0281016,.01857575,.0562574,-.0135283,.0556972,-.0159093,.0976582,.0140369,.0441762,-.0060138,.3377572,1.88158,1.819942
"001230","21308",31dec2013,2013,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment","Transportation",,-.2733984,,.0693063,0,,,8.672144,13.177,4,,0,,,,.0525865,.48837,14.88693,6.052089,15950.12,10763.86,.000059,8926.616,52,"MALE",595,6.390241,.096951,.1491949,.2278177,.0047962,.1332648,.0257527,.02334581,.0870161,.0385009,.0870161,.0385009,.1023368,.0549254,.1007158,.0535683,.5349388,1.39498,1.39498
